rank,artist,title,original_release_year
333,Cyndi Lauper,TRUE COLORS,1986
334,Basia,NEW DAY FOR YOU,1987
335,Pet Shop Boys,ALWAYS ON MY MIND,1987
336,The Rolling Stones,ANYBODY SEEN MY BABY,1997
337,Queen,DON'T STOP ME NOW,1979
338,Roxy Music,AVALON,1982
339,Kansas,DUST IN THE WIND,1977
340,The Prodigy,FIRESTARTER,1996
341,Fleetwood Mac,LITTLE LIES,1987
342,Eric Clapton,WONDERFUL TONIGHT,1977
343,Malcolm McLaren & Catherine Deneuve,PARIS PARIS,1994
344,Florence And The Machine,DOG DAYS ARE OVER,2008
345,Midnight Oil,BEDS ARE BURNING,1987
346,Pearl Jam,BLACK,1991
347,System Of A Down,CHOP SUEY!,2001
348,Duran Duran,ORDINARY WORLD,1992
349,Kings Of Leon,USE SOMEBODY,2008
350,Billy Joel,UPTOWN GIRL,1983
351,Billie Eilish,BAD GUY,2019
352,Fool's Garden,LEMON TREE,1995
353,Jimi Hendrix,ALL ALONG THE WATCHTOWER,1968
354,Lenny Kravitz,I BELONG TO YOU,1998
355,Sia,CHANDELIER,2014
356,Rammstein,RADIO,2019
357,Frank Sinatra,STRANGERS IN THE NIGHT,1966
