rank,artist,title,youtube_views,youtube_url,youtube_upload_date,youtube_video_title,original_release_year
104,Joy Division,LOVE WILL TEAR US APART,91858928,https://www.youtube.com/watch?v=zuuObGsB0No,,Joy Division - Love Will Tear Us Apart [OFFICIAL MUSIC VIDEO],
105,Michael Jackson,BILLIE JEAN,2001861342,https://www.youtube.com/watch?v=Zi_XLOBDo_Y,,Michael Jackson - Billie Jean (Official Video),
106,Katie Melua,NINE MILLION BICYCLES,5703236,https://www.youtube.com/watch?v=rrPUJsZQSkw,,Katie Melua - Nine Million Bicycles (Official Video) (4K Remaster),
107,Jean Michel Jarre,OXYGENE 4,16748040,https://www.youtube.com/watch?v=kSIMVnPA994,,"Jean-Michel Jarre - Oxygene, Pt. 4",
108,Madonna,FROZEN,286749197,https://www.youtube.com/watch?v=XS088Opj9o0,,Madonna - Frozen (Official Video) [HD],
109,Leonard Cohen,HALLELUJAH,269410054,https://www.youtube.com/watch?v=YrLk4vdY28Q,,Leonard Cohen - Hallelujah (Official Live in London 2008),
110,Suzanne Vega,LUKA,91409100,https://www.youtube.com/watch?v=VZt7J0iaUD0,,Suzanne Vega - Luka,
111,Queen,INNUENDO,74040165,https://www.youtube.com/watch?v=g2N0TkfrQhY,,Queen - Innuendo (Official Video),
112,The Cure,LULLABY,96798092,https://www.youtube.com/watch?v=ijxk-fgcg7c,,The Cure - Lullaby,
113,Adele,SKYFALL,783190512,https://www.youtube.com/watch?v=DeumyOzKqgI,,Adele - Skyfall (Official Lyric Video),
114,Phil Collins,AGAINST ALL ODDS (TAKE A LOOK AT ME NOW),70435719,https://www.youtube.com/watch?v=wuvtoyVi7vY,,Phil Collins - Against All Odds (Take A Look At Me Now) (Official Music Video),
115,Ennio Morricone,CHI MAI,41988588,https://www.youtube.com/watch?v=Jjq6e1LJHxw,,Ennio Morricone - The Best of Ennio Morricone - Greatest Hits (HD Audio),
116,Mike Oldfield,TUBULAR BELLS,23276924,https://www.youtube.com/watch?v=sSRJvq4Wd48,,Mike Oldfield - Tubular bells,
117,Deep Purple,PERFECT STRANGERS,149204820,https://www.youtube.com/watch?v=gZ_kez7WVUU,,Deep Purple - Perfect Strangers (Official Music Video),
118,Metallica,MASTER OF PUPPETS,123834513,https://www.youtube.com/watch?v=E0ozmU9cJDg,,Master of Puppets (Remastered),
119,Tanita Tikaram,TWIST IN MY SOBRIETY,68126147,https://www.youtube.com/watch?v=7s8glZ-efMg,,Tanita Tikaram - Twist In My Sobriety (Official Video),
120,Buena Vista Social Club,CHAN CHAN,55373257,https://www.youtube.com/watch?v=tGbRZ73NvlY,,Buena Vista Social Club - Chan Chan (Official HD Video),
121,Candy Dulfer & Dave Stewart,LILY WAS HERE,162714971,https://www.youtube.com/watch?v=86BmSaXZMHw,,Candy Dulfer & David A. Stewart - Lily Was Here,
122,Rod Stewart,SAILING,177921625,https://www.youtube.com/watch?v=iQzB5T_B_iI,,Rod Stewart - Sailing (from One Night Only! Rod Stewart Live at Royal Albert Hall),
123,Rage Against The Machine,KILLING IN THE NAME,333246788,https://www.youtube.com/watch?v=bWXazVhlyxQ,,Rage Against The Machine - Killing In the Name (Official HD Video),
124,Deep Purple,SMOKE ON THE WATER,29604954,https://www.youtube.com/watch?v=Q2FzZSBD5LE,,Deep Purple - Smoke On the Water (Official Music Video),
125,The Beatles,HEY JUDE,437224351,https://www.youtube.com/watch?v=A_MjCqQoLLA,,The Beatles - The Beatles - Hey Jude (Official Music Video) [Remastered 2015],
126,Lady Gaga & Bradley Cooper,SHALLOW,1822031001,https://www.youtube.com/watch?v=bo_efYhYU2A,,"Lady Gaga, Bradley Cooper - Shallow (from A Star Is Born) (Official Music Video)",
127,Pink Floyd,SHINE ON YOU CRAZY DIAMOND,100430214,https://www.youtube.com/watch?v=cWGE9Gi0bB0,,Pink Floyd - Shine On You Crazy Diamond [Official Music Video],
128,Pink Floyd,HEY YOU,95032171,https://www.youtube.com/watch?v=TFjmvfRvjTc,,"Pink Floyd - ""Hey You""",
129,No Doubt,DON'T SPEAK,1226920241,https://www.youtube.com/watch?v=TR3Vdo5etCQ,,No Doubt - Don't Speak (Official 4K Music Video),
130,USA For Africa,WE ARE THE WORLD,130664237,https://www.youtube.com/watch?v=p34sK9AYQN4,,"""We Are The World"" - OFFICIAL 35th ANNIVERSARY VIDEO",
131,The Alan Parsons Project,DON'T ANSWER ME,24653350,https://www.youtube.com/watch?v=JLvFbBR4XOg,,The Alan Parsons Project - Don't Answer Me (Official HD Video),
132,Kraftwerk,DAS MODEL,30357746,https://www.youtube.com/watch?v=OQIYEPe6DWY,,Kraftwerk - Das Model,
133,Sting,FIELDS OF GOLD,151948646,https://www.youtube.com/watch?v=KLVq0IAzh1A,,Sting - Fields Of Gold,
134,Pearl Jam,JEREMY,141672791,https://www.youtube.com/watch?v=MS91knuzoOA,,Pearl Jam - Jeremy (Official 4K Video),
135,Roxette,LISTEN TO YOUR HEART,481082861,https://www.youtube.com/watch?v=yCC_b5WHLX0,,Roxette - Listen To Your Heart (Official Music Video),
136,Vangelis,CHARIOTS OF FIRE,36607256,https://www.youtube.com/watch?v=8a-HfNE3EIo,,Vangelis - Chariots Of Fire,
137,The Moody Blues,NIGHTS IN WHITE SATIN,39602901,https://www.youtube.com/watch?v=cs4RG9u8IVU,,Nights in White Satin - The Moody Blues - in Paris.,
138,"Bryan Adams, Rod Stewart, Sting",ALL FOR LOVE,1222679976,https://www.youtube.com/watch?v=w46bWxS9IjY,,I Don't Want To Talk About It (from One Night Only! Rod Stewart Live at Royal Albert Hall),
139,Bruce Springsteen,BORN IN THE U.S.A.,100151435,https://www.youtube.com/watch?v=EPhWR4d3FJQ,,Bruce Springsteen - Born in the U.S.A. (Official Video),
140,Classix Nouveaux,NEVER NEVER COMES,1760617,https://www.youtube.com/watch?v=smk83l9Dz34,,Classix Nouveaux - Never Never Comes,
141,Michael Kiwanuka,COLD LITTLE HEART,255570295,https://www.youtube.com/watch?v=nOubjLM9Cbc,,Michael Kiwanuka - Cold Little Heart (Official Video),
142,Bee Gees,HOW DEEP IS YOUR LOVE,754300917,https://www.youtube.com/watch?v=XpqqjU7u5Yc,,Bee Gees - How Deep Is Your Love (Official Video),
143,Chris Rea,DRIVING HOME FOR CHRISTMAS,78999908,https://www.youtube.com/watch?v=DDt3u2Ev1cI,,Chris Rea ~ Driving Home For Christmas  (1986),
144,Aretha Franklin,I SAY A LITTLE PRAYER,36383099,https://www.youtube.com/watch?v=TDyiREoBw0o,,Aretha Franklin - I Say A Little Prayer (Official Lyric Video),
145,Wham!,LAST CHRISTMAS,1101944113,https://www.youtube.com/watch?v=E8gmARGvPlI,,Wham! - Last Christmas (Official Video),
146,Metallica,ONE,368934869,https://www.youtube.com/watch?v=WM8bTdBs-cw,,Metallica: One (Official Music Video),
147,Bryan Adams,(EVERYTHING I DO) I DO IT FOR YOU,934834365,https://www.youtube.com/watch?v=Y0pdQU87dc8,,Bryan Adams - (Everything I Do) I Do It For You,
148,Billie Eilish,BIRDS OF A FEATHER,673626855,https://www.youtube.com/watch?v=V9PVRfjEBTI,,Billie Eilish - BIRDS OF A FEATHER (Official Music Video),
149,Metallica,THE UNFORGIVEN,478325118,https://www.youtube.com/watch?v=Ckom3gf57Yw,,Metallica - The Unforgiven (Official Music Video),
150,The Doors,THE END,25941020,https://www.youtube.com/watch?v=BXqPNlng6uI,,The End,
151,Gary Moore,STILL GOT THE BLUES,102361700,https://www.youtube.com/watch?v=4O_YMLDvvnw,,Gary Moore - Still Got The Blues (Live),
152,Alphaville,BIG IN JAPAN,298666014,https://www.youtube.com/watch?v=sjGl-pq4RxQ,,Alphaville - Big In Japan (Extended 12'' Version Edit),
153,The Beatles,LET IT BE,209815258,https://www.youtube.com/watch?v=QDYfEBY9NM4,,Let It Be (Remastered 2009),
154,4 Non Blondes,WHAT'S UP,2073753240,https://www.youtube.com/watch?v=6NXnxTNIWkc,,4 Non Blondes - What's Up (Official Music Video),
155,George Michael,FREEDOM! 90,159544317,https://www.youtube.com/watch?v=diYAc7gB-0A,,George Michael - Freedom! ’90 (Official Video),
156,Soundgarden,BLACK HOLE SUN,307945000,https://www.youtube.com/watch?v=3mbBbFH9fAg,,Soundgarden - Black Hole Sun,
157,Roxette,IT MUST HAVE BEEN LOVE,943133946,https://www.youtube.com/watch?v=k2C5TjS2sh4,,Roxette - It Must Have Been Love (Official Music Video),
158,George Michael & Queen,SOMEBODY TO LOVE (LIVE),2557707,https://www.youtube.com/watch?v=kIb4gM84-o0,,Queen & George Michael - Somebody to Love (HD Remastered) (The Freddie Mercury Tribute Concert),
159,Edith Piaf,"NON, JE NE REGRETTE RIEN",117440437,https://www.youtube.com/watch?v=Q3Kvu6Kgp88,,"Edith Piaf - Non, Je ne regrette rien",
160,Ozzy Osbourne,MAMA I'M COMING HOME,139644343,https://www.youtube.com/watch?v=K0siYUjV9UM,,"OZZY OSBOURNE - ""Mama, I'm Coming Home"" (Official Video)",
161,Ben E. King,STAND BY ME,577796793,https://www.youtube.com/watch?v=hwZNL7QVJjE,,Ben E. King - Stand By Me (Audio),
162,Clannad,ROBIN (THE HOODED MAN),1023921,https://www.youtube.com/watch?v=DNXMfRvEN28,,Clannad - Robin (The Hooded Man),
163,Disturbed,THE SOUND OF SILENCE,1146838322,https://www.youtube.com/watch?v=u9Dg-g7t2l4,,Disturbed  - The Sound Of Silence (Official Music Video) [4K UPGRADE],
164,The Mamas & The Papas,CALIFORNIA DREAMIN',377525195,https://www.youtube.com/watch?v=N-aK6JnyFmk,,The Mamas & The Papas - California Dreamin',
165,U2,I STILL HAVEN'T FOUND WHAT I'M LOOKING FOR,253977320,https://www.youtube.com/watch?v=e3-5YC_oHjE,,U2 - I Still Haven't Found What I'm Looking For (Official Music Video),
166,Beverley Craven,PROMISE ME,40530597,https://www.youtube.com/watch?v=EmTBKbyaEjU,,Beverley Craven - Promise Me,
167,Eurythmics,HERE COMES THE RAIN AGAIN,74376174,https://www.youtube.com/watch?v=TzFnYcIqj6I,,"Eurythmics, Annie Lennox, Dave Stewart - Here Comes The Rain Again (Remastered)",
168,Iron Maiden,FEAR OF THE DARK,175987978,https://www.youtube.com/watch?v=bePCRKGUwAY,,Fear of the Dark (2015 Remaster),
169,Metallica,ENTER SANDMAN,767847843,https://www.youtube.com/watch?v=CD-E-LDc384,,Metallica: Enter Sandman (Official Music Video),
170,Jon And Vangelis,I'LL FIND MY WAY HOME,9365695,https://www.youtube.com/watch?v=rKqLAVyRaXw,,"Jon & Vangelis - I'll Find My Way Home (Live on Top Of The Pops, 1982)",
171,Pearl Jam,ALIVE,101608118,https://www.youtube.com/watch?v=qM0zINtulhM,,Pearl Jam - Alive (Official Video),
172,The White Stripes,SEVEN NATION ARMY,793876212,https://www.youtube.com/watch?v=0J2QdDbelmY,,The White Stripes - Seven Nation Army (Official Music Video),
173,Bon Jovi,LIVIN' ON A PRAYER,1391369436,https://www.youtube.com/watch?v=lDK9QqIzhwk,,Bon Jovi - Livin' On A Prayer,
174,Chris Rea,THE ROAD TO HELL,53308807,https://www.youtube.com/watch?v=OcW-BSEB3ng,,Chris Rea - The Road to Hell Pt 2 (Official Music Video),
